0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
8.0,4.0,3.0,9.0,4.0,2.0,0.0,2.0,8.0,4.0,1.0,5.0,3.0,2.0,1.0,6.0,4.0,3.0,2.0,4.0,0.10666666666666667,0.05333333333333334,0.04,0.12,0.05333333333333334,0.02666666666666667,0.0,0.02666666666666667,0.10666666666666667,0.05333333333333334,0.013333333333333334,0.06666666666666667,0.04,0.02666666666666667,0.013333333333333334,0.08,0.05333333333333334,0.04,0.02666666666666667,0.05333333333333334,75.0,0.13333333333333333,-0.6413333333333334,8568.503799999999,4.853561210632324,9.991325609965376,-3.2628439175163226,-20.98885881115269,64.36266666666666,0.25333333333333335,0.21333333333333332,0.29333333333333333,2458.3529010761204,3594.838684600313,6053.191585676433
51.0,2.0,27.0,34.0,17.0,41.0,4.0,36.0,28.0,40.0,6.0,19.0,16.0,21.0,20.0,25.0,22.0,29.0,4.0,25.0,0.10920770877944326,0.004282655246252677,0.057815845824411134,0.0728051391862955,0.03640256959314775,0.08779443254817987,0.008565310492505354,0.07708779443254818,0.059957173447537475,0.08565310492505353,0.01284796573875803,0.04068522483940043,0.034261241970021415,0.044967880085653104,0.042826552462526764,0.05353319057815846,0.047109207708779445,0.06209850107066381,0.008565310492505354,0.05353319057815846,467.0,0.09850107066381156,-0.18715203426124233,51348.50960000007,5.054543876647949,52.96357338434729,-13.135108664836892,-88.79666059188654,35.41456102783725,0.3233404710920771,0.2162740899357602,0.28051391862955033,9766.14881771601,12416.767848668731,22182.91666638478
13.0,2.0,9.0,10.0,6.0,22.0,6.0,6.0,10.0,6.0,1.0,8.0,8.0,3.0,4.0,11.0,10.0,17.0,0.0,1.0,0.08496732026143791,0.013071895424836602,0.058823529411764705,0.06535947712418301,0.0392156862745098,0.1437908496732026,0.0392156862745098,0.0392156862745098,0.06535947712418301,0.0392156862745098,0.006535947712418301,0.05228758169934641,0.05228758169934641,0.0196078431372549,0.026143790849673203,0.0718954248366013,0.06535947712418301,0.1111111111111111,0.0,0.006535947712418301,153.0,0.0457516339869281,-0.3372549019607843,15723.220099999984,5.627821922302245,20.985565325585483,-4.735606003113654,-22.959275813206926,24.894771241830057,0.23529411764705882,0.3202614379084967,0.19607843137254902,3248.413674941453,4215.929197595601,7464.342872537052
37.0,9.0,13.0,20.0,10.0,27.0,6.0,16.0,10.0,31.0,10.0,11.0,16.0,14.0,17.0,17.0,9.0,23.0,4.0,8.0,0.12012987012987013,0.02922077922077922,0.04220779220779221,0.06493506493506493,0.032467532467532464,0.08766233766233766,0.01948051948051948,0.05194805194805195,0.032467532467532464,0.10064935064935066,0.032467532467532464,0.03571428571428571,0.05194805194805195,0.045454545454545456,0.05519480519480519,0.05519480519480519,0.02922077922077922,0.07467532467532467,0.012987012987012988,0.025974025974025976,308.0,0.07142857142857142,0.047077922077922066,33380.07390000002,5.58195285797119,33.9784559068521,-6.013081978422072,-50.82979318476841,40.010064935064946,0.29870129870129875,0.2305194805194805,0.3181818181818182,6691.613059777421,7054.703752796528,13746.31681257395
7.0,3.0,19.0,14.0,10.0,15.0,3.0,16.0,21.0,25.0,5.0,9.0,5.0,10.0,8.0,11.0,13.0,13.0,3.0,6.0,0.032407407407407406,0.013888888888888888,0.08796296296296297,0.06481481481481481,0.046296296296296294,0.06944444444444445,0.013888888888888888,0.07407407407407407,0.09722222222222222,0.11574074074074074,0.023148148148148147,0.041666666666666664,0.023148148148148147,0.046296296296296294,0.037037037037037035,0.05092592592592592,0.06018518518518518,0.06018518518518518,0.013888888888888888,0.027777777777777776,216.0,0.08796296296296297,-0.3365740740740743,24687.081100000014,5.50556125640869,32.975272752814384,-4.23423781868296,-42.9180622147181,23.976851851851833,0.33796296296296297,0.18518518518518517,0.2361111111111111,4798.3333360226625,6000.930008717553,10799.263344740206
67.0,4.0,28.0,24.0,9.0,45.0,10.0,17.0,30.0,44.0,9.0,20.0,23.0,23.0,14.0,23.0,43.0,24.0,3.0,11.0,0.14225053078556263,0.008492569002123142,0.059447983014861996,0.050955414012738856,0.01910828025477707,0.09554140127388536,0.021231422505307854,0.036093418259023353,0.06369426751592357,0.09341825902335456,0.01910828025477707,0.04246284501061571,0.04883227176220807,0.04883227176220807,0.029723991507430998,0.04883227176220807,0.09129511677282377,0.050955414012738856,0.006369426751592357,0.02335456475583864,471.0,0.04883227176220807,-0.3129511677282379,49437.99920000007,5.743034553527832,54.96363843925516,-7.6097740361951836,-67.85724634353237,31.778789808917185,0.22929936305732485,0.2356687898089172,0.3057324840764331,14992.71161121665,25402.420427920333,40395.132039136945
10.0,1.0,14.0,13.0,12.0,35.0,3.0,17.0,12.0,15.0,6.0,8.0,18.0,11.0,13.0,15.0,14.0,17.0,3.0,11.0,0.04032258064516129,0.004032258064516129,0.056451612903225805,0.05241935483870968,0.04838709677419355,0.14112903225806453,0.012096774193548387,0.06854838709677419,0.04838709677419355,0.06048387096774194,0.024193548387096774,0.03225806451612903,0.07258064516129033,0.04435483870967742,0.05241935483870968,0.06048387096774194,0.056451612903225805,0.06854838709677419,0.012096774193548387,0.04435483870967742,248.0,0.10483870967741936,-0.3512096774193553,27103.334299999977,5.980735206604003,28.980080387812876,-1.9852703982475717,-39.868977049447096,45.68266129032256,0.3024193548387097,0.3064516129032258,0.1774193548387097,5134.293851538737,6605.994156468512,11740.288008007255
47.0,6.0,30.0,27.0,12.0,49.0,19.0,29.0,22.0,52.0,21.0,17.0,28.0,33.0,23.0,30.0,32.0,59.0,8.0,19.0,0.08348134991119005,0.010657193605683837,0.05328596802841918,0.047957371225577264,0.021314387211367674,0.08703374777975133,0.03374777975133215,0.05150976909413854,0.03907637655417407,0.09236234458259325,0.037300177619893425,0.03019538188277087,0.0497335701598579,0.0586145648312611,0.04085257548845471,0.05328596802841918,0.056838365896980464,0.10479573712255773,0.014209591474245116,0.03374777975133215,563.0,0.06927175843694494,-0.03250444049733592,61589.99950000009,5.877629280090332,64.96069988509554,-10.57467848675465,-82.76811712959434,39.877619893428104,0.31793960923623443,0.22024866785079927,0.261101243339254,11158.680298042404,13408.915341184249,24567.595639226653
59.0,7.0,29.0,23.0,16.0,31.0,11.0,25.0,18.0,49.0,5.0,18.0,14.0,29.0,23.0,25.0,14.0,37.0,3.0,16.0,0.13053097345132744,0.015486725663716814,0.06415929203539823,0.05088495575221239,0.035398230088495575,0.06858407079646017,0.024336283185840708,0.05530973451327434,0.03982300884955752,0.1084070796460177,0.011061946902654867,0.03982300884955752,0.030973451327433628,0.06415929203539823,0.05088495575221239,0.05530973451327434,0.030973451327433628,0.08185840707964602,0.00663716814159292,0.035398230088495575,452.0,0.07743362831858407,-0.025221238938052976,49360.52800000008,5.510619926452636,52.96309217521347,-10.547089511377997,-75.76880735356798,31.148694690265472,0.3230088495575221,0.19469026548672566,0.3008849557522124,9027.126691590598,9739.378461343098,18766.50515293374
55.0,1.0,31.0,25.0,16.0,37.0,11.0,22.0,37.0,40.0,5.0,19.0,15.0,9.0,14.0,31.0,20.0,34.0,5.0,9.0,0.12614678899082568,0.0022935779816513763,0.07110091743119266,0.05733944954128441,0.03669724770642202,0.08486238532110092,0.02522935779816514,0.05045871559633028,0.08486238532110092,0.09174311926605505,0.011467889908256881,0.04357798165137615,0.034403669724770644,0.020642201834862386,0.03211009174311927,0.07110091743119266,0.045871559633027525,0.0779816513761468,0.011467889908256881,0.020642201834862386,436.0,0.06880733944954129,-0.1850917431192663,46670.31620000007,6.166655540466309,62.96060267654583,-4.1961992375330865,-66.85677609401398,31.1908256880734,0.2889908256880734,0.2339449541284404,0.286697247706422,7266.634565055091,8906.05395481315,16172.688519868234
